gene_id,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
Olfr1308,0,0,0,0,0,0,0,0,0,0,0,0
Adra2b,1,2,3,3,4,10,4,2,4,3,4,2
Gmeb2,688,902,703,628,568,565,702,659,692,527,1136,779
Eif2s2,1814,2282,1741,1307,1785,1633,1840,2544,2994,2070,4241,1938
B4galt5,1655,2416,2122,1678,1562,1427,1669,3505,5148,2371,6205,2210
Ehmt1,1510,1629,1426,1180,1255,1152,1291,1342,1633,1002,2259,1512
Tmc2,0,0,0,0,0,0,0,0,0,0,0,0
Jph2,2071,2620,1616,1399,1528,1486,1681,2246,2379,1442,3185,1889
Gm14085,0,0,0,0,0,0,0,0,0,0,0,0
Mmp9,4,22,20,17,4,3,4,263,590,115,134,4
Nnat,95,197,161,180,89,79,93,421,611,379,642,118
Ubox5,165,263,197,198,208,158,187,209,220,179,406,266
Zfp663,0,0,0,0,0,0,0,0,0,0,0,0
Zfp661,90,142,93,127,85,86,74,112,74,80,171,111
Tank,507,683,532,411,500,398,486,592,728,497,1145,595
Jmjd7,139,169,114,105,100,0,41,120,184,109,236,151
Olfr1274-ps,0,0,0,0,0,0,0,0,0,0,0,2
Dsn1,47,56,31,25,56,40,51,168,282,136,212,46
Aar2,663,823,668,512,595,492,520,677,790,492,1109,767
Secisbp2l,2716,3046,2529,1913,2079,2253,2481,2188,2292,1781,3795,2962
Mir3474,1,1,1,1,1,1,1,1,1,1,3,1
Nckap1,4708,5274,4466,3422,4205,3893,4851,5147,5978,4132,8155,5322
Agps,1274,1328,1212,773,995,994,1148,1300,1654,1064,2003,1208
Olfr998,0,0,0,0,0,0,0,0,0,0,0,0
Olfr996,0,0,0,0,0,0,0,0,0,0,0,0
Serinc4,36,43,31,35,36,29,34,28,20,21,54,36
Olfr994,0,0,0,0,0,0,0,0,0,0,0,0
Olfr995,0,0,0,0,0,0,0,0,0,0,0,0
Olfr992,0,0,0,0,0,0,0,0,0,0,0,0
Rab22a,1233,1282,1190,830,873,938,1116,1078,1181,848,1700,1324
Serinc3,21378,24166,20931,14000,17714,16858,17354,20177,17494,15540,30951,22871
Dok5,14,38,29,28,20,15,12,96,153,77,141,22
Dnmt3b,169,151,154,158,187,129,157,131,142,106,209,129
4930441J16Rik,0,0,0,0,0,0,0,0,0,0,0,0
Mir670,0,0,0,0,0,0,0,0,0,0,0,0
Mir674,1,1,0,0,0,1,0,0,0,0,1,0
Rims4,0,0,4,0,0,0,0,0,0,0,0,0
1700020I14Rik,651,680,637,464,485,518,540,615,795,495,994,726
Mga,2795,3367,2853,2498,2423,2517,2908,2383,2524,2140,4412,3460
6820408C15Rik,0,0,0,0,0,0,0,0,3,0,3,0
Agbl2,81,111,98,95,74,62,104,109,108,76,165,88
Kcng1,116,83,84,67,49,69,79,73,45,91,116,62
Snap23,1239,1550,1256,849,1185,1068,1248,1605,1701,1181,2548,1366
Mir1a-1,0,0,0,0,0,0,0,0,0,0,0,0
Srp14,1679,2123,1595,1276,1559,1290,1445,1714,1747,1180,2434,1791
Gm13582,4,0,5,4,4,2,3,3,4,2,2,5
Gm13580,0,0,0,0,0,0,0,0,0,0,0,0
Stard7,1725,1922,1647,1405,1546,1419,1661,1427,1661,1165,2299,1975
Mir3473g,0,2,0,1,0,0,0,0,1,0,2,0
Upp2,14,4,0,0,2,7,0,0,0,5,12,0
Arl14ep,699,745,647,485,668,504,591,609,732,528,850,697
Mrgbp,276,241,234,214,235,162,203,259,282,192,484,264
Pax6os1,0,0,0,0,0,0,0,0,0,0,0,0
Shf,178,181,186,141,148,127,150,165,223,110,266,194
Cdk5rap1,213,305,285,204,218,154,206,220,224,158,351,276
Pbx3,230,260,249,209,216,206,207,390,633,301,636,298
Ptgs1,1311,2106,1405,1155,1195,898,1051,1712,2159,1174,2249,1616
Adnp,2634,3012,2550,2069,2585,1926,2630,2734,3024,2329,4587,2742
1700003F12Rik,0,2,0,5,3,3,0,0,2,6,0,3
Mir467d,0,0,0,0,0,0,0,0,0,0,0,0
Lpcat4,81,94,114,82,89,47,65,173,246,147,229,85
Lkaaear1,0,0,0,0,0,0,0,0,0,0,0,0
Actl10,2,4,2,8,4,2,3,6,3,2,2,6
4930573O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gca,14,5,9,5,14,14,14,14,10,8,30,19
Gabpb1,414,530,458,350,421,309,395,511,588,411,850,431
Gcg,0,0,0,0,0,0,0,0,0,0,0,0
Wisp2,6419,7421,6675,4919,4684,4723,5192,9775,5991,8921,20246,7054
Crb2,0,15,5,5,2,2,2,5,29,2,10,9
Rnf24,873,952,813,613,857,668,893,753,880,622,1165,928
Hsd17b12,1480,1889,1420,891,1268,1091,1277,1822,1960,1461,2752,1614
Olfr3,0,0,0,0,0,0,0,0,0,0,0,0
Stmn3,2,5,2,7,7,0,8,0,0,0,7,10
Ssfa2,1783,2069,1866,1404,1597,1601,1754,1642,1813,1225,2530,2043
Eif2ak4,744,920,673,629,630,569,659,657,814,568,1373,781
Fkbp1a,5391,6189,5124,3768,4975,3906,5090,5808,6931,4355,8671,5750
Erich2,0,0,3,2,8,0,0,19,20,6,17,0
Il2ra,0,6,3,5,4,3,3,3,2,0,7,7
Gapvd1,1965,2147,1973,1606,1693,1599,1838,1975,2095,1315,3293,2181
Olfr1168,0,0,0,0,0,0,0,0,0,0,0,0
Cnbd2,61,110,86,73,49,56,55,53,48,43,108,102
Ptges,4209,5511,4136,3121,3472,2796,2919,5797,6633,4331,9952,4572
