transcript_id,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
NM_001171640,2,4,2,8,4,2,3,6,3,2,2,6
NM_001290824,236,530,335,222,293,390,593,482,671,320,382,450
NM_001290820,233,213,179,151,122,186,177,152,198,90,182,245
NM_177157,3,0,0,0,3,0,0,0,0,0,4,0
NM_009116,379,478,384,430,438,374,568,560,789,441,910,521
NM_001100415,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291065,0,0,0,0,0,0,0,0,0,0,0,0
NM_183113,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291067,8,5,3,8,7,4,6,5,3,3,6,0
NM_001291061,0,61,0,37,38,0,98,58,59,73,93,53
NM_152947,0,0,0,0,0,0,0,0,0,0,0,0
NM_028141,90,142,93,127,85,86,74,112,74,80,7,111
NM_026574,1206,1433,1203,1068,1136,953,1178,1298,1447,1084,2627,1300
NM_207706,1,2,1,1264,1,1,0,1,1,0,2,1
NM_146908,0,0,0,0,0,0,0,0,0,0,0,0
NM_027552,0,0,0,0,0,0,0,0,0,0,0,0
NM_016907,0,4,6,0,0,3,8,2,6,0,10,5
NM_025885,498,579,463,321,396,292,390,549,584,374,822,475
NM_021527,423,547,410,290,279,401,238,140,314,210,442,480
NM_021526,882,1229,907,669,863,673,923,1348,1630,1185,2410,997
NM_001024849,1060,1324,915,716,984,674,897,974,1148,772,1700,1019
NR_045729,0,0,0,0,7,2,4,2,0,0,0,0
NM_001011825,0,0,0,0,0,0,0,0,0,0,0,0
NM_026754,0,0,0,0,0,0,0,0,0,0,0,0
NM_146944,0,0,0,0,0,0,0,0,0,0,0,0
NR_036450,869,1295,791,587,1004,583,712,824,744,712,1265,905
NM_026688,1226,1704,1380,1014,1096,885,1110,1385,1529,1023,2153,1476
NM_009608,11,0,15,17,16,14,6,3,13,0,0,15
NM_011171,85,148,170,284,178,165,181,206,173,215,396,239
NM_011170,3870,5429,4650,3742,3963,3874,4090,2983,3216,2195,4236,4817
NM_001289749,0,0,0,0,0,0,0,0,0,0,0,0
NM_130451,1121,1280,1046,848,1106,848,1040,1097,1047,737,1700,1104
NM_130452,3,2,0,0,6,0,5,0,0,3,0,4
NM_001033197,62,76,55,40,41,42,40,64,73,40,99,64
NM_001033196,2937,3042,2670,2314,2346,2055,2363,3108,3147,2901,6865,3029
NM_001177405_1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177405_2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177405_3,0,0,0,0,0,0,0,0,0,0,0,0
NM_144783,8,168,36,90,156,35,49,47,166,32,49,195
NR_106125,0,1,0,1,0,0,0,0,0,0,0,0
NM_025314,542,696,552,378,515,432,491,438,460,328,702,642
NM_173030,0,0,0,0,0,0,0,0,0,0,0,0
NM_144786,81,223,178,112,95,72,89,184,198,132,341,146
NR_103465,80,115,71,81,65,44,80,94,107,90,198,83
NM_177025,54,91,151,95,15,164,9,103,53,0,72,134
NM_001083329,96,120,126,93,35,166,0,55,0,0,177,0
NM_028914,0,0,0,0,0,0,0,0,0,0,0,0
NM_178249,0,0,0,0,0,0,0,0,0,0,0,0
NM_007914,4,11,9,7,3,7,6,8,7,5,6,4
NM_009735,23022,42048,36678,24076,22192,17913,22391,91552,100675,74955,155892,35313
NM_009732,0,0,0,0,0,0,0,0,0,0,0,0
NM_001164325,436,801,330,580,566,473,0,669,489,726,1222,1090
NM_133501,405,436,354,417,323,257,218,172,136,155,310,446
NM_133500,239,246,242,176,194,175,211,221,260,79,300,281
NM_009236,91,48,37,28,27,74,18,69,44,9,67,94
NM_001141981,694,746,549,460,659,377,677,714,767,559,919,842
NM_001083328,129,140,130,51,73,29,148,149,116,0,83,0
NM_001011759,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011758,0,0,0,0,0,0,0,0,0,0,0,0
NM_175419,332,354,284,283,233,217,253,189,245,169,517,346
NM_133763,683,751,635,550,583,501,524,635,799,513,1094,707
NM_007601,79,58,60,57,56,47,34,26,11,26,56,52
NM_001165941,5,4,170,146,0,5,7,196,174,1,298,4
NM_001165942,27,19,4,9,12,15,15,5,7,18,42,7
NM_001165943,0,0,0,0,0,0,0,0,0,0,0,0
NM_144944,0,0,0,0,0,0,0,0,0,0,0,0
NM_013554,0,0,0,0,0,0,0,0,0,0,0,0
NM_153387,690,530,528,116,472,159,309,458,671,357,280,295
NM_146884,0,0,0,0,0,0,0,0,0,0,0,0
NM_008397,78,63,21,28,21,48,23,93,42,39,190,65
NM_008395,1804,1771,1560,447,1585,1411,1276,1600,1772,1600,2306,1734
NM_016744,0,0,0,0,0,11,0,0,692,0,0,0
NM_001146348,619,361,499,948,367,391,529,202,750,1104,1223,1282
NM_029512,14,23,146,807,21,9,2,357,33,402,723,11
