Peak id	Log FC	P-value	Adjusted P-value	Log Odds
570	-0.46	0.1464	0.4023	-6.178
571	-1.52	0.0496	0.2072	-5.1388
572	-0.35	0.2247	0.5028	-6.5574
573	-1.74	0.0288	0.1485	-4.4463
574	-1.1	0.0598	0.23	-5.3248
575	-0.3	0.2525	0.5278	-6.6557
576	-1.17	0.0603	0.2306	-5.3321
577	-1.01	0.0388	0.1774	-4.8934
578	-0.22	0.3343	0.6017	-6.8813
579	-0.16	0.5201	0.7399	-7.1916
580	-0.94	0.0574	0.2249	-5.2834
581	-2.08	0.0163	0.1001	-3.6185
582	-0.68	0.1067	0.3269	-5.8846
583	-0.49	0.1033	0.3203	-5.8536
584	-0.99	0.0554	0.219	-5.1193
585	-1.57	0.0079	0.0598	-3.0655
586	-0.7	0.1124	0.3405	-5.9335
587	-1.3	0.0384	0.176	-4.8826
588	-0.39	0.2204	0.4975	-6.541
589	-1.03	0.1144	0.3442	-5.9499
590	-1.24	0.0407	0.182	-4.8043
591	-0.28	0.3706	0.6285	-6.9595
592	-0.5	0.1568	0.4151	-6.1343
593	-0.74	0.1151	0.3447	-5.956
594	-1.7	0.0265	0.1409	-4.1436
595	-0.28	0.3617	0.6228	-6.9412
596	-1.16	0.0478	0.2021	-4.9693
597	-0.91	0.1055	0.3253	-5.874
598	-0.66	0.1254	0.3641	-6.0358
599	-0.9	0.0018	0.0257	-1.6602
600	-0.2	0.4468	0.686	-6.8703
601	-0.8	0.052	0.2119	-5.055
602	0.1	0.2346	0.5136	-6.5941
603	0.09	0.3466	0.6097	-6.9091
604	0.15	0.1212	0.3576	-6.0039
605	0.05	0.5877	0.7818	-7.2632
606	0.29	0.0493	0.2063	-5.1323
607	0.16	0.1679	0.4301	-6.3024
608	-0.04	0.7938	0.8954	-7.3983
609	0.16	0.1547	0.4123	-6.2286
610	-0.05	0.7521	0.8736	-7.3795
611	0.22	0.1009	0.3166	-5.8311
612	-0.01	0.933	0.9684	-7.435
613	-0.04	0.752	0.8736	-7.3794
614	0.04	0.6702	0.8325	-7.3307
615	0.41	0.0613	0.233	-5.3485
616	1.62	0.002	0.0271	-1.7569
617	0.93	0.0006	0.0142	-0.5521
618	0.19	0.3807	0.6365	-6.9792
619	-0.03	0.8329	0.9159	-7.4126
620	0.03	0.8248	0.9113	-7.4099
621	0.05	0.721	0.858	-7.3629
622	0.07	0.6813	0.8376	-7.3383
623	0.11	0.5023	0.7267	-7.1697
624	0.17	0.2642	0.5407	-6.6935
625	0.22	0.175	0.4414	-6.3394
626	-0.18	0.4886	0.7194	-7.1521
627	-0.04	0.8302	0.9146	-7.4117
628	-0.1	0.6196	0.8041	-7.2917
629	-0.14	0.5854	0.7806	-7.2611
630	-0.01	0.9648	0.9832	-7.4381
631	-0.04	0.8057	0.9017	-7.403
